Plot Title: 1153413,,,,,,,
#,"Date Time, GMT-07:00","Date Time, GMT-07:00","Abs Pres, Pa (LGR S/N: 1153413, SEN S/N: 1153413)","Temp, °C (LGR S/N: 1153413, SEN S/N: 1153413)","Batt, V (LGR S/N: 1153413, SEN S/N: 1153413)",Coupler Detached (LGR S/N: 1153413),End Of File (LGR S/N: 1153413)
1,8/27/2012,8:33:02,77282,13.846,3.51,Logged,
2,8/27/2012,9:03:02,77282,13.75,3.51,,
3,8/27/2012,9:33:02,77266,13.75,3.51,,
4,8/27/2012,10:03:02,77249,13.846,3.51,,
5,8/27/2012,10:33:02,77250,13.942,3.51,,
6,8/27/2012,11:03:02,77233,13.942,3.51,,
7,8/27/2012,11:33:02,77201,14.038,3.51,,
8,8/27/2012,12:03:02,77185,14.134,3.51,,
9,8/27/2012,12:33:02,77136,14.23,3.54,,
10,8/27/2012,13:03:02,77087,14.325,3.54,,
11,8/27/2012,13:33:02,77071,14.517,3.54,,
12,8/27/2012,14:03:02,77055,14.709,3.54,,
13,8/27/2012,14:33:02,76991,14.9,3.54,,
14,8/27/2012,15:03:02,76974,14.996,3.54,,
15,8/27/2012,15:33:02,76958,15.187,3.51,,
16,8/27/2012,16:03:02,76942,15.282,3.51,,
17,8/27/2012,16:33:02,76942,15.378,3.51,,
18,8/27/2012,17:03:02,76910,15.473,3.51,,
19,8/27/2012,17:33:02,76926,15.473,3.51,,
20,8/27/2012,18:03:02,76943,15.569,3.51,,
21,8/27/2012,18:33:02,76975,15.569,3.51,,
22,8/27/2012,19:03:02,77024,15.664,3.51,,Logged
