Plot Title: lwr Sulfur Creek 4_12,,,,,,
#,"Date Time, GMT-06:00","Date Time, GMT-06:00","Abs Pres, Pa (LGR S/N: 1280510, SEN S/N: 1280510)","Temp, °C (LGR S/N: 1280510, SEN S/N: 1280510)",Coupler Detached (LGR S/N: 1280510),End Of File (LGR S/N: 1280510)
1,9/5/2012,9:48:59,75749,17.475,Logged,
2,9/5/2012,10:03:59,75600,12.304,,
3,9/5/2012,10:18:59,75601,12.207,,
4,9/5/2012,10:33:59,75581,12.207,,
5,9/5/2012,10:48:59,75591,12.207,,
6,9/5/2012,11:03:59,75591,12.207,,
7,9/5/2012,11:18:59,75550,12.207,,
8,9/5/2012,11:33:59,75540,12.207,,
9,9/5/2012,11:48:59,75520,12.207,,
10,9/5/2012,12:03:59,75510,12.207,,
11,9/5/2012,12:18:59,75519,12.304,,
12,9/5/2012,12:33:59,75489,12.304,,
13,9/5/2012,12:48:59,75489,12.304,,
14,9/5/2012,13:03:59,75468,12.304,,
15,9/5/2012,13:18:59,75468,12.304,,
16,9/5/2012,13:33:59,75479,12.304,,
17,9/5/2012,13:48:59,75458,12.401,,
18,9/5/2012,14:03:59,75498,12.401,,
19,9/5/2012,14:18:59,75508,12.401,,
20,9/5/2012,14:33:59,75518,12.401,,Logged
